time,user_name,user_color,message
156,moobot,#54BC75," ¡Síguenos en nuestras redes para tener acceso a contenido exclusivo de la liga y participar en SORTEOS! Instagram: www.instagram.com/Kingsleague | Twitter: www.twitter.com/kingsleague | TikTok: https://www.tiktok.com/@kingsleague | YouTube: https://www.youtube.com/@KingsLeagueOfficial"
157,alf0n5o__,#9ACD32,"Opá, voy a hacé un corrá."
157,daguendi,#FF0000,"la kinli la kinli"
157,danielisky10,,"TwitchUnity TwitchUnity TwitchUnity"
157,3mblema,#0000FF,"hola,alguien me dice por que epieza pronto?"
157,lauvale20,,"Ppp"
158,romi_gg20,#008000,"PPP"
158,hiramkenay,#0000FF,"6:33am"
158,nadiaasorroche,,"A"
158,airos_daniel,#00FF7F,"rivers41Pio rivers41Pio rivers41Pio"
159,miqueas_cabello,,"33"
159,oscar230311,,"kleagueEscudo kleagueEscudo kleagueLogo kleagueLogo kleagueLogo"
159,nahu_ledesma1,#D2691E,"PPPALVMVVALV"
160,lfmrgato,,"Vamos Mostoleta"
160,icker_espinrp,#5F9EA0,"PPP"
161,sera21k1ng,#0000FF,"Pollitos de colores"
162,quimico_drc,,"Hola ppp"
162,landos1323,,"Vamos Messi"
165,sralonso89,,"kleagueOPA kleagueOPA kleagueOPA"
165,leandroidee7901,,"PPP"
167,sr_chocolat,#FF00D0,"@3mblema empieza a la misma hora de siempre"
167,jhoucla_136,#1E90FF,"🌲🌲🌲"
168,irismoreira30,,"kleagueEscudo kleagueEscudo"
168,byargenis,#00FF7F,"kleagueLogo kleagueLogo"
169,luisanajasmin,,"PPP"
170,marcos_hola20,,"TwitchUnity"
170,copieldash300,#B22222,"PPP"
170,diegokoi,#00D3FF,"kleaguePorcinos kleaguePeepoPorcinos kleaguePorcinos kleaguePeepoPorcinos kleaguePorcinos kleaguePeepoPorcinos kleaguePorcinos"
170,sera21k1ng,#0000FF,"kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo"
173,delwinc99,,"kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo kleagueLogo"
173,danieiita21,#FF69B4,"kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo"
174,francisco__gg,#FF69B4,"PPP"
174,alexomgyt12345,#00FF7F,"SAIYANS SAIYANS SAIYANS SAIYANS SAIYANS SAIYANS"
175,anthony_zj,#F9FF00,"kinli kinli"
177,fernandax3616,,"#puro pinche pio"
177,moobot,#54BC75," kleagueLogo CAMISETAS OFICIALES EN: https://store.kingsleague.pro"
177,luisluna_11,,"PPP"
177,javico11huesa,,"PPP"
178,ares200904,,"daleeeee"
178,sebas_090712,#FF0000,"Vamos puro piche pio"
179,walkerelite0,#DAA520,"Espérame que voy a comprar las facturas pata el mate..."
179,xproangelx09,,"Pinche buyerneta"
180,pragmatismos,,"Vamos a ver si hoy el nivel arbitral es mejor."
181,sera21k1ng,#0000FF,"PPP"
183,javico11huesa,,"Piooo"
183,moobot,#54BC75,"Pregunta a un moderador antes de postear cualquier link, @Casanes_ (warning)"
184,s3baltik,#0000FF,"OAAAAAAAAAAAA"
184,luisluna_11,,"POP"
186,copieldash300,#B22222,"PPPP"
186,pingadyeti,#008000,"!resultados"
186,moobot,#54BC75,"@pingadyeti Todos los resultados en: https://kingsleague.pro y https://queensleague.pro"
187,luisluna_11,,"PPP"
187,moobot,#54BC75," ¡Acumula gigas a lo bestia! En simyo los gigas que te sobran se acumulan y puedes gastarlos hasta en 4 meses, para que tú decidas cómo y cuándo los usas. Así, sí. Mira cómo va: https://bit.ly/3WJHXPl"
187,locodiaz9,#1E90FF,"!horarioskings"
187,moobot,#54BC75,"@locodiaz9 Horarios de la 4ª jornada de la Kings League InfoJobs: 16h: kleagueXbuyer vs. kleaguePio | 17h: kleagueJijantes vs. kleagueLostroncos | 18h: kleagueUltimatemostoles vs. kleaguePorcinos | 19h: kleagueElbarrio vs. kleague1k | 20h: kleagueRayodebarcelona vs. kleagueSaiyans | 21h: kleagueKunisports vs. kleagueAniquiladores"
188,strvnsky,#FFFFFF,"vamos cruz azul!!!"
188,kevin_c545,#FF0000,"rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio"
189,twzsalet,#FF69B4,"PPP"
189,s3baltik,#0000FF,"LAKINLILAKINLI"
190,javico11huesa,,"PPP"
191,aiden_007,#FF0000,"Ppp"
192,sera21k1ng,#0000FF,"Puro pinché Pio alv"
193,ismaelitus,,"Navarrosaaaaaaaa"
194,bere_myr,#B22222,"kleagueEscudo kleagueEscudo kleagueEscudo"
194,copieldash300,#B22222,"PPP"
194,zonricz_garraz,,"Vamos Pio!!!"
194,hectorenri2930,,"Vamoooooo"
196,papocrack77,,"kleagueLogo"
196,twzsalet,#FF69B4,"ppp"
198,copieldash300,#B22222,"PPPP"
199,raulfarfan1234,,"Con que joder estos españoles a los de latan vamos pio no importa que ponga el partidos de madrugada"
200,moobot,#54BC75,"40 minutti sin pedir McDe3livery son molto longo. Pide ahora."
200,el_diamante_blanco,#FF0000,"Aquí los bots"
200,alegomin,#8A2BE2,"kinli kinli"
200,twzsalet,#FF69B4,"PPP"
201,copieldash300,#B22222,"PPP"
203,y0sorax,#8A2BE2,"Ppp"
204,moobot,#54BC75,"Llenas el chat con tu mensaje amigo, hazlo más corto, @bbiel010 (warning)"
204,ares200904,,"kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo"
204,katyuska5,,"PPP"
205,sagat1725,#DAA520,"Ppp"
205,s3baltik,#0000FF,"NAVARROSSAAAAAAA"
205,sera21k1ng,#0000FF,"Piooooooooooooooo"
206,miqueas_cabello,,"KomodoHype KomodoHype KomodoHype KomodoHype KomodoHype KomodoHype kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo kleagueEscudo"
207,leydi_ale29_gg,#8A2BE2,"PPP🐥"
207,javico11huesa,,"Pioneta"
208,alexomgyt12345,#00FF7F,"@3mblema 15:30"
208,twzsalet,#FF69B4,"VAMOS PIOOO"
208,leandroidee7901,,"PPP"
208,wetgypsy,,"!scores"
210,yurimakachev,,"estaba viendo la queens y vaya tela con la arbitra, es de vergüenza..."
210,moobot,#54BC75," kleagueQueensLogo Toda la información de la Queens League Oysho en: https://queensleague.pro"
211,copieldash300,#B22222,"PPPP"
211,lukss34_,,"La barrioneta rompe"
212,leydi_ale29_gg,#8A2BE2,"PPP"
212,valyulix,,"Puro pinche pío"
213,copieldash300,#B22222,"PPP"
213,javico11huesa,,"PPP"
213,kevin_c545,#FF0000,"rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio rivers41Pio"
215,miqueas_cabello,,"OPAAÁAAA"
215,shayd1209,,"Ppp"
215,keko2505,,"ibaiLando ibaiLando ibaiLando ibaiLando"
216,juguitojmex,#8A2BE2,"ppp"
